Date (UTC);Quarter;ES;ES_DIR;ES_Open;NQ;NQ_DIR;NQ_Open;ZN;ZN_DIR;ZN_Open_dec;FGBM;FGBM_DIR;FGBM_Open;6E;6E_DIR;6E_OPEN
2026-02-22;q1-26;ESH26;-1;6918;NQH26;1;25033,75;ZNH26;1;112,921875;;;;6EH26;1;1,1803
2026-02-23;q1-26;ESH26;-1;6858,25;NQH26;1;24788;ZNH26;1;113,328125;;;;6EH26;1;1,17975
2026-02-24;q1-26;ESH26;-1;6900,25;NQH26;1;25016,25;ZNH26;1;113,296875;;;;6EH26;1;1,17845
2026-02-25;q1-26;ESH26;-1;6965;NQH26;1;25388,25;ZNH26;1;113,140625;;;;6EH26;1;1,1821
2026-02-26;q1-26;ESH26;-1;6899;NQH26;1;25024,25;ZNH26;1;113,5;;;;6EH26;1;1,1805
2026-03-01;q1-26;ESH26;1;6820;NQH26;1;24682,5;ZNH26;1;114,203125;;;;6EH26;1;1,17775
2026-03-02;q1-26;ESH26;1;6883,5;NQH26;-1;25002,75;ZNH26;1;113,234375;;;;6EH26;1;1,1697
2026-03-03;q1-26;ESH26;1;6813,25;NQH26;-1;24710,75;ZNH26;1;113,078125;;;;6EH26;1;1,16165
2026-03-04;q1-26;ESH26;1;6883,25;NQH26;1;25156,5;ZNH26;1;112,796875;;;;6EH26;1;1,16425
2026-03-05;q1-26;ESH26;1;6826;NQH26;-1;25019,75;ZNH26;1;112,515625;;;;6EH26;1;1,16105
2026-03-08;q1-26;ESH26;1;6685,5;NQH26;-1;24435,25;ZNH26;-1;112,265625;;;;6EH26;1;1,15555
2026-03-09;q1-26;ESH26;1;6800,75;NQH26;1;24981,5;ZNH26;-1;112,609375;;;;6EH26;1;1,16405
2026-03-10;q1-26;ESH26;1;6796,75;NQH26;1;25010,25;ZNH26;-1;112,46875;;;;6EH26;1;1,1614
2026-03-11;q1-26;ESH26;1;6766;NQH26;1;24934,5;ZNH26;-1;111,875;;;;6EH26;1;1,15715
2026-03-12;q1-26;ESH26;1;6684,25;NQH26;1;24567;ZNH26;-1;111,59375;;;;6EH26;0;1,1513
2026-03-15;q1-26;ESH26;1;6608,5;NQH26;1;24285;ZNH26;-1;111,609375;;;;;;
2026-03-16;q1-26;ESH26;1;6700;NQH26;1;24669;ZNH26;-1;112;;;;;;
2026-03-17;q1-26;ESH26;1;6722,5;NQH26;1;24796;ZNH26;-1;112,09375;;;;;;
2026-03-18;q1-26;ESH26;1;6622;NQH26;1;24399,75;ZNH26;1;111,671875;;;;;;
2026-03-19;q1-26;ESH26;0;6622,75;NQH26;0;24417,25;ZNH26;0;111,296875;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
